Data,Transação,Tipo Transação,Identificação,Valor
18/02/2026,Pagamento da fatura,DÉBITO,Cora SCFI,-473.44
14/02/2026,Transf Pix enviada,DÉBITO,MEGA MAIS COMUNICACAO VISUAL LTDA,-3000
13/02/2026,Transferência recebida,CRÉDITO,Gpbr Participacoes Ltda,9983
10/02/2026,Transf Pix enviada,DÉBITO,AQUAFAN ESCOLA DE NATACAO LTDA,-100000
09/02/2026,Transferência recebida,CRÉDITO,Aquafan Escola De Natacao Ltda,144093.7
09/02/2026,Transf Pix recebida,CRÉDITO,AQUALIFE,990
06/02/2026,Transf Pix enviada,DÉBITO,AQUAFAN ESCOLA DE NATACAO LTDA,-50000
05/02/2026,Transferência recebida,CRÉDITO,Aquafan Escola De Natacao Ltda,55894.77
